WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
673	4108284.35	4026731.428	4065835.897	3768717.928
674	4123703.492	4041854.089	4081166.018	3782621.133
675	4136306.801	4054684.138	4093543.409	3791523.316
676	4143556.667	4061528.828	4100555.696	3808079.806
677	4158376.007	4076537.834	4114795.318	3820461.147
678	4172182.626	4090232.197	4128241.698	3833129.505
679	4185339.011	4103398.678	4141259.776	3846540.066
680	4198089.083	4116137.045	4154024.496	3859297.312
681	4213826.711	4131831.376	4169388.296	3873083.101
682	4226413.493	4144512.178	4181671.955	3882088.183
683	4239058.627	4156801.445	4193917.496	3898881.379
684	4251508.576	4169600.685	4206350.75	3912395.381
685	4267157.137	4185025.711	4221826.53	3924117.305
686	4274372.626	4192267.84	4228845.985	3935499.407
687	4287575.69	4205264.881	4241821.363	3949606.474
688	4302519.47	4220334.699	4256632.346	3963941.515
689	4315237.513	4233402.323	4268962.402	3974348.541
690	4328555.962	4246258.785	4282196.221	3988529.089
691	4342467.775	4260188.42	4295497.53	3996811.878
692	4348375.894	4266633.957	4301552.266	4012684.086
693	4358982.164	4277289.7	4312088.393	4020973.227
694	4374584.703	4292703.278	4327605.672	4034432.878
695	4385996.985	4304295.505	4338808.586	4046370.595
696	4399679.629	4317875.098	4352271.401	4057082.781
697	4405946.385	4324064.095	4358163.159	4069176.957
698	4421094.217	4338696.63	4373231.37	4084724.002
699	4426306.396	4344793.139	4378697.155	4096099.368
700	4441441.466	4359966.844	4393365.483	4108180.319
701	4448891.75	4367858.589	4400583.572	4117413.938
702	4466020.322	4384822.252	4417683.574	4132328.209
703	4480523.997	4399183.195	4432396.74	4148139.589
704	4491833.585	4411247.325	4443241.019	4156515.281
705	4506520.897	4425688.758	4457615.09	4169641.401
706	4519443.305	4438437.908	4470366.541	4182425.988
707	4533013.614	4452011.341	4483796.597	4191381.469
708	4538056.523	4457212.748	4488722.753	4218031.229
709	4532413.966	4452721.423	4483243.862	4212593.317
710	4540016.647	4460512.509	4491000.526	4232595.553
711	4574612.908	4494586.052	4525249.166	4244942.264
712	4586940.504	4506832.04	4537493.567	4256136.665
713	4600532.742	4520694.265	4550639.113	4268542.88
714	4613317.796	4533369.499	4562982.442	4281114.278
715	4626796.667	4547218.264	4576243.012	4290711.641
716	4636368.948	4557185.655	4586109.142	4305587.765
717	4649724.22	4570295.43	4599132.475	4313290.762
718	4659380.747	4580184.002	4608806.391	4326452.555
719	4666193.284	4588582.046	4615700.04	4342372.837
720	4677820.065	4600345.152	4627451.405	4352113.893
721	4689087.401	4611562.915	4638318.253	4366315.038
722	4702915.11	4625178.963	4651742.815	4378625.388
